name,lms-id,scenario-tag,ppc-scenario_initial-amount,ppc-scenario_final-amount,ppc-scenario_change-amount,ppc-scenario_percent-change
rpc3-034,ratio_proportion_change3-034,president,25.0,,,-16.0
rpc3-010,ratio_proportion_change3-010,sportsCards,25.0,19.0,,
rpc3-068,ratio_proportion_change3-068,president,10.0,,,-30.0
rpc3-177,ratio_proportion_change3-177,president,60.0,,-15.0,
rpc3-057,ratio_proportion_change3-057,carwash,88.0,,,50.0
rpc3-036,ratio_proportion_change3-036,sportsTeam,30.0,,,-10.0
rpc3-073,ratio_proportion_change3-073,shelter,40.0,,8.0,
rpc3-032,ratio_proportion_change3-032,shells,50.0,,,-68.0
rpc3-077,ratio_proportion_change3-077,carDealer,40.0,,,5.0
rpc3-155,ratio_proportion_change3-155,checking,4.0,,,75.0
rpc3-117,ratio_proportion_change3-117,carwash,20.0,,-14.0,
rpc3-072,ratio_proportion_change3-072,carwash,20.0,,,20.0
rpc3-037,ratio_proportion_change3-037,carDealer,10.0,,,70.0
rpc3-190,ratio_proportion_change3-190,carDealer,80.0,,,-10.0
rpc3-150,ratio_proportion_change3-150,kites,,13.0,-7.0,
rpc3-131,ratio_proportion_change3-131,shelter,4.0,7.0,,
rpc3-174,ratio_proportion_change3-174,strategyGame,,47.0,-3.0,
rpc3-189,ratio_proportion_change3-189,sportsTeam,50.0,,,-26.0
rpc3-028,ratio_proportion_change3-028,strategyGame,,18.0,6.0,
rpc3-050,ratio_proportion_change3-050,insects,10.0,,,-30.0
rpc3-089,ratio_proportion_change3-089,strategyGame,10.0,,3.0,
rpc3-049,ratio_proportion_change3-049,movies,52.0,,39.0,
rpc3-111,ratio_proportion_change3-111,sportsTeam,,42.0,12.0,
rpc3-196,ratio_proportion_change3-196,sportsTeam,20.0,,,90.0
rpc3-033,ratio_proportion_change3-033,checking,75.0,,,-32.0
rpc3-017,ratio_proportion_change3-017,carDealer,4.0,,2.0,
rpc3-063,ratio_proportion_change3-063,sportsTeam,25.0,,,12.0
rpc3-183,ratio_proportion_change3-183,sportsTeam,40.0,,,-30.0
rpc3-106,ratio_proportion_change3-106,sportsCards,,6.0,-24.0,
rpc3-167,ratio_proportion_change3-167,shells,,44.0,19.0,
rpc3-087,ratio_proportion_change3-087,carDealer,25.0,,,88.0
rpc3-002,ratio_proportion_change3-002,necklaces,40.0,76.0,,
rpc3-047,ratio_proportion_change3-047,insects,,68.0,-12.0,
rpc3-120,ratio_proportion_change3-120,checking,,4.0,-12.0,
rpc3-078,ratio_proportion_change3-078,checking,20.0,,19.0,
rpc3-141,ratio_proportion_change3-141,sportsTeam,50.0,,7.0,
rpc3-100,ratio_proportion_change3-100,sports cards,4.0,,-3.0,
rpc3-178,ratio_proportion_change3-178,sports cards,50.0,,,-46.0
rpc3-098,ratio_proportion_change3-098,shelter,56.0,,-14.0,
rpc3-119,ratio_proportion_change3-119,sportsCards,,21.0,-9.0,
rpc3-041,ratio_proportion_change3-041,sportsTeam,50.0,,,-42.0
rpc3-081,ratio_proportion_change3-081,shelter,12.0,,,-75.0
rpc3-039,ratio_proportion_change3-039,carwash,40.0,,,75.0
rpc3-161,ratio_proportion_change3-161,president,4.0,,2.0,
rpc3-163,ratio_proportion_change3-163,president,12.0,,,-25.0
rpc3-022,ratio_proportion_change3-022,hats,,7.0,3.0,
rpc3-067,ratio_proportion_change3-067,carwash,10.0,,6.0,
rpc3-084,ratio_proportion_change3-084,carwash,24.0,,,-75.0
rpc3-164,ratio_proportion_change3-164,sportsCards,10.0,,,90.0
rpc3-001,ratio_proportion_change3-001,pizzaShop,20.0,16.0,,
rpc3-180,ratio_proportion_change3-180,carwash,50.0,,44.0,
rpc3-105,ratio_proportion_change3-105,strategyGame,40.0,,34.0,
