Anon Student Id,CF (Semantic Event Id),Session Id,Time,Level (Workspace Id),Problem Name,Step Name,KC Model(MATHia),CF (Skill Previous p-Known),CF (Skill New p-Known),CF (Rule Id),Attempt At Step,Action,Outcome,CF (Is Autofilled),Help Level,Input,CF (Etalon),CF (Workspace Progress Status),CF (Workspace Variant Id),CF (Encounter),CF (Is Review Mode),CF (Is StepByStep),CF (Problem Scenario Tags),CF (Anon School Id),CF (Anon Class Id)
stu_GELPT83462,3000c032-587c-416e-8b47-261995de607d,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709010644,ratio_proportion_change4,ratio_proportion_mix4-075,NumeratorQuantity1,represent part or total in proportion with variable-1,0.902,0.985244472372513,,1,Attempt,OK,False,0,omitted,{value=y},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,89676f72-b062-4653-be0b-fe446c3ab7de,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709015770,ratio_proportion_change4,ratio_proportion_mix4-075,DenominatorQuantity1,enter given total in proportion-1,0.871,0.989301534036433,,1,Attempt,OK,False,0,omitted,{value=225},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,6e7fe4d3-96e7-4f98-8fa2-93d03d8ff76a,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709020953,ratio_proportion_change4,ratio_proportion_mix4-075,NumeratorQuantity2,enter numerator of given percent in proportion-1,0.871,0.989301534036433,,1,Attempt,OK,False,0,omitted,{value=56},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,90da2546-f5a1-4065-8495-4f0072de055a,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709030087,ratio_proportion_change4,ratio_proportion_mix4-075,OptionalTask_2,,,,,1,Attempt,OK,False,0,omitted,{value=true},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,0e941e53-82c3-4170-945f-aedce56a102e,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709033598,ratio_proportion_change4,ratio_proportion_mix4-075,FirstRow2:1,,,,,1,Attempt,OK,False,0,omitted,{value=x},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,da071702-cdc5-4669-9173-e29393f4408b,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709044685,ratio_proportion_change4,ratio_proportion_mix4-075,FirstRow2:2,,,,,1,Attempt,OK,False,0,omitted,{value=100},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,089948cf-cd87-4f60-a589-55982adef124,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709050236,ratio_proportion_change4,ratio_proportion_mix4-075,FirstRow1:1,,,,,1,Attempt,OK,False,0,omitted,{value=225},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,ea7c3af3-962f-4930-9c10-e3de1f2b72ad,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709054069,ratio_proportion_change4,ratio_proportion_mix4-075,FirstRow1:2,,,,,1,Attempt,OK,False,0,omitted,{value=56},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,5a5eb657-ac58-4c74-8c8e-99ea10304f17,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709076415,ratio_proportion_change4,ratio_proportion_mix4-075,SecondRow,,,,,1,Attempt,OK,False,0,omitted,{value=12600},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
stu_GELPT83462,35a0cd8f-cbf3-4445-bedd-a2909f9fd2ab,6v29zjgvxmehzqor4mpkbm0dzao:1668708783376,1668709083556,ratio_proportion_change4,ratio_proportion_mix4-075,ThirdRow,,,,,1,Attempt,OK,False,0,omitted,{value=126},GRADUATED,empty-variant,0,-1,False,[],sch_BGCFT77771,clsZHOOL69615
