name,lms-id,problem-class,scenario-tag,ppc-scenario_initial-amount,ppc-scenario_percent-change,ppc-scenario_part-amount,ppc-scenario_percent,ppc-scenario_total-amount,ppc-scenario_final-amount,ppc-scenario_change-amount
rpm4-035,ratio_proportion_mix4-035,_percentChange,shelter,40,20,,,,,
rpm4-190,ratio_proportion_mix4-190,_percentProportion,pizzaShop,,,6.0,,600.0,,
rpm4-115,ratio_proportion_mix4-115,_percentProportion,,,,190.0,38.0,,,
rpm4-174,ratio_proportion_mix4-174,_percentChange,shelter,70,30,,,,,
rpm4-131,ratio_proportion_mix4-131,_percentChange,sportsTeam,30,90,,,,,
rpm4-069,ratio_proportion_mix4-069,_percentProportion,carDealer,,,11.0,55.0,,,
rpm4-149,ratio_proportion_mix4-149,_percentChange,strategyGame,,,,,,7.0,-3.0
rpm4-176,ratio_proportion_mix4-176,_percentChange,pizzaShop,,,,,,7.0,-43.0
rpm4-096,ratio_proportion_mix4-096,_percentChange,carDealer,,,,,,25.0,5.0
rpm4-037,ratio_proportion_mix4-037,_percentChange,carDealer,64,50,,,,,
rpm4-196,ratio_proportion_mix4-196,_percentProportion,,,,98.0,49.0,,,
rpm4-033,ratio_proportion_mix4-033,_percentChange,checking,50,70,,,,,
rpm4-076,ratio_proportion_mix4-076,_percentProportion,,,,264.0,66.0,,,
rpm4-172,ratio_proportion_mix4-172,_percentProportion,,,,,65.0,200.0,,
rpm4-108,ratio_proportion_mix4-108,_percentProportion,pizzaShop,,,27.0,,225.0,,
rpm4-015,ratio_proportion_mix4-015,_percentChange,shelter,20,,,,,,3.0
rpm4-169,ratio_proportion_mix4-169,_percentChange,sportsCards,25,20,,,,,
rpm4-031,ratio_proportion_mix4-031,_percentChange,pizzaShop,40,65,,,,,
rpm4-074,ratio_proportion_mix4-074,_percentProportion,,,,651.0,,700.0,,
rpm4-177,ratio_proportion_mix4-177,_percentProportion,sports cards,,,,51.0,200.0,,
rpm4-036,ratio_proportion_mix4-036,_percentChange,sportsTeam,50,2,,,,,
rpm4-153,ratio_proportion_mix4-153,_percentChange,shelter,,,,,,35.0,15.0
rpm4-129,ratio_proportion_mix4-129,_percentProportion,,,,12.0,8.0,,,
rpm4-034,ratio_proportion_mix4-034,_percentChange,president,10,-30,,,,,
rpm4-148,ratio_proportion_mix4-148,_percentChange,pizzaShop,84,,,,,,63.0
rpm4-095,ratio_proportion_mix4-095,_percentChange,strategyGame,36,25,,,,,
rpm4-171,ratio_proportion_mix4-171,_percentChange,strategyGame,10,,,,,,7.0
rpm4-029,ratio_proportion_mix4-029,_percentChange,carwash,,,,,,144.0,69.0
rpm4-091,ratio_proportion_mix4-091,_percentProportion,,,,42.0,28.0,,,
rpm4-155,ratio_proportion_mix4-155,_percentProportion,,,,,12.0,25.0,,
rpm4-075,ratio_proportion_mix4-075,_percentProportion,,,,,56.0,225.0,,
rpm4-168,ratio_proportion_mix4-168,_percentChange,strategyGame,,,,,,21.0,-54.0
rpm4-032,ratio_proportion_mix4-032,_percentChange,shells,12,-25,,,,,
rpm4-112,ratio_proportion_mix4-112,_percentChange,carwash,,,,,,33.0,-17.0
rpm4-157,ratio_proportion_mix4-157,_percentChange,sportsTeam,25,,,,,,20.0
rpm4-016,ratio_proportion_mix4-016,_percentChange,sportsTeam,30,,,,,,9.0
rpm4-142,ratio_proportion_mix4-142,_percentProportion,sportsTeam,,,,40.0,50.0,,
rpm4-166,ratio_proportion_mix4-166,_percentProportion,,,,693.0,,700.0,,
rpm4-084,ratio_proportion_mix4-084,_percentProportion,strategyGame,,,,88.0,50.0,,
rpm4-164,ratio_proportion_mix4-164,_percentProportion,,,,,40.0,20.0,,
rpm4-121,ratio_proportion_mix4-121,_percentProportion,carDealer,,,7.0,10.0,,,
rpm4-044,ratio_proportion_mix4-044,_percentProportion,checking,,,,81.0,200.0,,
